ProteinID	Known_GO_Terms
P0A8P3	GO:0005506, GO:0005829, GO:0034599
P0A9N0	GO:0005737, GO:0009401, GO:0016772
P0AAP3	GO:0003677, GO:0005737, GO:0045892, GO:0046872
P0AAS7	GO:0003723, GO:0005829, GO:0006412
P0AAX6	GO:0009242, GO:0042597
P0AB33	GO:0090609, GO:1900190
P0ABM5	GO:0005886, GO:0017004, GO:0043190, GO:1903607, GO:1904334
P0ABW3	GO:0005737, GO:0006124, GO:0009055, GO:0030091, GO:0046872, GO:0051537
P0AC07	GO:0005886, GO:0006935, GO:0009288, GO:0030254, GO:0030257, GO:0044780, GO:0071973, GO:0120102
P0AC65	GO:0009055, GO:0045454
P0AC92	GO:0005829, GO:0042802, GO:0042803
P0ACX5	GO:0004333
P0ADB4	GO:0005886, GO:0009636, GO:0016020
P0ADB7	GO:0005886, GO:0009636, GO:0016020
P0AE56	GO:0046872, GO:0051537
P0AE60	GO:0003690, GO:0051301, GO:0051302
P0AEL3	GO:0005737, GO:0006826, GO:0006974, GO:0046914
P0AEM4	GO:0016989, GO:0044781, GO:0045861
P0AFM9	GO:0005886, GO:0006355, GO:0009271, GO:0080135
P0AFV8	GO:0005737, GO:0005886, GO:0009271
P0AGK4	GO:0000027, GO:0000028, GO:0000967, GO:0003723, GO:0005829, GO:1990275
P0C0N0	GO:0001968, GO:0004585, GO:0005737, GO:0006526
P0CL61	GO:0006355, GO:0045927, GO:0097351, GO:0098754
P0DKB3	GO:0005737, GO:0030026, GO:0071287
P0DOA7	GO:0005576, GO:0009274
P12874	GO:0003735, GO:0006412, GO:0019843, GO:0022627
P13479	GO:0015643, GO:0019904, GO:0030153, GO:0032991
P13920	GO:0006276, GO:0006355, GO:0032993, GO:0043565
P18393	GO:0005829, GO:0009239, GO:0019290
P19422	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P19466	GO:0003723, GO:0006353, GO:0045947, GO:0060566
P20458	GO:0003743, GO:0005829, GO:0019843, GO:0043022
P20804	GO:0000035, GO:0000036, GO:0005829, GO:0009245
P21468	GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0070181, GO:1990904
P21473	GO:0003735, GO:0006412, GO:0019843, GO:0022627
P21474	GO:0003735, GO:0005737, GO:0006412, GO:0015935
P21475	GO:0003735, GO:0006412, GO:0022627, GO:0070181
P21476	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
P21477	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
P24244	GO:0005886, GO:0009279
P25013	GO:0004370, GO:0005524, GO:0006071, GO:0019563
P26477	GO:0005737, GO:0044781, GO:0045892, GO:0140678
P26649	GO:1900232, GO:1902201
P27182	GO:0008289, GO:0015986, GO:0031676, GO:0045263, GO:0046933
P28599	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P30720	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P32696	GO:0005886, GO:0009271
P33230	GO:0006259, GO:0046677
P35535	GO:0005886, GO:0009306, GO:0009425, GO:0044780, GO:0071978
P35874	GO:0005886, GO:0006605, GO:0008320, GO:0009306, GO:0043952, GO:0065002
P36995	GO:0003676, GO:0003697, GO:0003723, GO:0005829, GO:0009409, GO:0010468, GO:0098847
P37558	GO:0016020, GO:0030435, GO:0042601
P37815	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P38393	GO:0046677, GO:0051301, GO:0051782
P38579	GO:0001897, GO:0005576, GO:0042742
P38580	GO:0001897, GO:0005576, GO:0042742
P39430	GO:0000166, GO:0006772, GO:0009117, GO:0017111, GO:0046872, GO:0103023
P39431	GO:0000166, GO:0006772, GO:0009117, GO:0017111, GO:0046872, GO:0103023
P39603	GO:0005886, GO:0009847, GO:0043594
P40819	GO:0000976, GO:0001217, GO:0032993
P42453	GO:0005506, GO:0005737, GO:0009055, GO:0043448
P43721	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P43734	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P44389	GO:0003735, GO:0006412, GO:0019843, GO:0022627
P45242	GO:0005737, GO:0009055, GO:0015035, GO:0015038, GO:0034599, GO:0045454
P45309	GO:0000166, GO:0006777, GO:1990133
P45530	GO:0002143, GO:1990228
P47410	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
P50727	GO:0005506, GO:0009055, GO:0051539
P52102	GO:0002097, GO:0005737, GO:0046872, GO:0051539
P52119	GO:0005886
P54522	GO:0005829, GO:0006308, GO:0008855, GO:0009318
P56621	GO:0005886, GO:0140678
P58035	GO:0005737, GO:0008643, GO:0008982, GO:0009401, GO:0015795, GO:0016301, GO:1902495
P58091	GO:0006355, GO:0042803, GO:0051290
P58817	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
P61437	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P64394	GO:0003677, GO:0005694, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527
P64453	GO:0001896, GO:0005886
P64638	GO:0003677, GO:0005506, GO:0033212, GO:0051539
P68704	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P68706	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P69917	GO:0005829, GO:0006109, GO:0006402, GO:0045947, GO:0045948, GO:0048027
P72759	GO:0015977, GO:0015979, GO:0031470, GO:0043886
P74067	GO:0009523, GO:0010207, GO:0031676
P75687	GO:0042597, GO:1901530
P76078	GO:0005829, GO:0010124, GO:0062077
P77494	GO:0005886, GO:0022611
P80643	GO:0000035, GO:0000036, GO:0005829, GO:0009245
P81800	GO:0004035, GO:0030945, GO:0035335
P82996	GO:0004364, GO:0005737
P82997	GO:0004364, GO:0005737
P82999	GO:0004364, GO:0005737
P83000	GO:0004364, GO:0005737
P83001	GO:0004364, GO:0005737
P83077	GO:0004365, GO:0005737, GO:0006096, GO:0051287
P83146	GO:0008201, GO:0016829
P83147	GO:0008201, GO:0016829
P83222	GO:0000287, GO:0004519, GO:0005576, GO:0006308
P83675	GO:0005102, GO:0005576, GO:0006965, GO:0031640, GO:0050830
P83798	GO:0009512, GO:0015979, GO:0017004, GO:0031676, GO:0045158
P84142	GO:0003998, GO:0016787
P84812	GO:0016787, GO:0042178
P84886	GO:0005576, GO:0031640, GO:0050830
P84962	GO:0005576, GO:0031640, GO:0050830
P85876	GO:0005576, GO:0031640, GO:0050829, GO:0050830
P85974	GO:0005576, GO:0016052, GO:0033916
P86041	GO:0030247, GO:0050688
P86526	GO:0005576, GO:0050830, GO:0051838
P94425	GO:0003824, GO:0004497, GO:0009056, GO:0009636
P94542	GO:0000917, GO:0000921, GO:0005829, GO:0005886, GO:0030428, GO:0032153, GO:0043093
P9WF19	GO:0015643, GO:0045927, GO:0097351
P9WH57	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
P9WIJ7	GO:0006355, GO:0097351, GO:0098754
P9WIX3	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
P9WJG7	GO:0005886, GO:0051701
P9WLM7	GO:0001666, GO:0045927, GO:0046872
P9WLU3	GO:0045727, GO:0075136, GO:0097351, GO:0098754
P9WMM9	GO:0000105, GO:0000287, GO:0004636, GO:0005524, GO:0005737, GO:0009274, GO:0075139
P9WN59	GO:0005524, GO:0006412, GO:0006450, GO:0009274, GO:0050566, GO:0050567, GO:0070681
P9WNI7	GO:0005576, GO:0005886, GO:0009274
P9WNJ5	GO:0005576, GO:0005886, GO:0009274
P9WNJ7	GO:0005576
P9WPS1	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933, GO:1902600
Q02054	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0017000
Q05595	GO:0006824, GO:0009236, GO:0015087, GO:0043190
Q06842	GO:0000027, GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q09122	GO:0004564, GO:0005985, GO:0016052
Q0Z8B6	GO:0005576, GO:0031640, GO:0050830
Q2FW19	GO:0003735, GO:0006412, GO:0008270, GO:0015935, GO:0019843
Q2FWN3	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q2FWY8	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q2FZ51	GO:0000035, GO:0000036, GO:0005829, GO:0009245
Q2FZK2	GO:0005886, GO:0009319, GO:0009486, GO:0015078, GO:0015990, GO:0016682, GO:0019646, GO:0042773
Q2G026	GO:0005886, GO:0009306, GO:0015450, GO:0043952, GO:0065002
Q2G2F6	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q2W8J4	GO:0110146
Q2W8Q5	GO:0005886, GO:0110146
Q2W8Q9	GO:0046872, GO:0110146
Q47156	GO:0003677, GO:0006281, GO:0006355, GO:0006974, GO:0009432, GO:0040008, GO:0110001
Q4H4E3	GO:0016712, GO:0017000, GO:0051289
Q51473	GO:0003677, GO:0005694, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527
Q53878	GO:0031177, GO:1901771
Q57649	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q5JJC9	GO:0000428, GO:0003677, GO:0003899, GO:0005694, GO:0005737, GO:0006351, GO:0008270
Q5W265	GO:0017000
Q6MX43	GO:0005886, GO:0009274, GO:0046872
Q6NE51	GO:0003677, GO:0110143
Q6NE62	GO:0046872, GO:0110146
Q6NE75	GO:0110146
Q746Y5	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q747C8	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q74G98	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
Q74GB3	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q7CG46	GO:0005829, GO:0016491, GO:0016861
Q7CJ87	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
Q7CQ53	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
Q7NCR9	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q7NEG5	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
Q7NG91	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q7PC63	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0017000
Q7TTZ0	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q814B1	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q814V7	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q89K28	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q89VT6	GO:0000035, GO:0000036, GO:0005829, GO:0009245
Q8A6P7	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q8A9V0	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q8CWN9	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q8CX49	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q8E8B5	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q8F3A0	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q8R5X6	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q8R678	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q8RGD7	GO:0005886, GO:0008289, GO:0015986, GO:0042802, GO:0045263, GO:0046933
Q8TT41	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q8ZIY4	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q8ZKP9	GO:0005829, GO:0016491, GO:0016861
Q8ZYP9	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q97ZG0	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q97ZJ9	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006360, GO:0006366, GO:0042797
Q97ZQ5	GO:0002181, GO:0003735, GO:0008270, GO:0019843, GO:0022627
Q980K0	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0046983
Q980Q9	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351
Q9A9T8	GO:0051290
Q9AGE7	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9AL94	GO:0005506, GO:0009055, GO:0009636, GO:0016491, GO:0043448, GO:0072592
Q9HQJ1	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q9HR44	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9HT15	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q9HTK7	GO:0005506, GO:0005737, GO:0009055, GO:0043448
Q9HUM0	GO:0003723, GO:0005829, GO:0006355, GO:0006417, GO:0009372, GO:0043487, GO:0043609, GO:0045974
Q9HVM1	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
Q9HVT9	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9JXM4	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9JZ00	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9KLC7	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9KNH0	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q9KNR6	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9KQH8	GO:0000035, GO:0000036, GO:0005829, GO:0009245
Q9KV11	GO:0003723, GO:0005829, GO:0006355, GO:0043487, GO:0045974
Q9RSL0	GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9RSS4	GO:0000049, GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9RSW6	GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9RUV6	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9RWR0	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9RXJ4	GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9RXK0	GO:0000027, GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9RXV7	GO:0003677, GO:0005829, GO:0043590
Q9RY64	GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0019843, GO:1990904
Q9RY65	GO:0000049, GO:0003735, GO:0006412, GO:0019843, GO:0022625
Q9V1Z9	GO:0000408, GO:0002949, GO:0005737
Q9WY94	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9WYX5	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q9X1V0	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
Q9X6J6	GO:0003723, GO:0006353, GO:0006355, GO:0042802
Q9XAR4	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
Q9Z581	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
Q9ZAU0	GO:0031177, GO:1901771
A0A385XJ53	GO:0006313
A5A615	GO:0005886
A5A624	GO:0005886, GO:0006974, GO:0016020
A5I2R9	GO:0003723, GO:0005829, GO:0006355, GO:0043487, GO:0045974
A5I308	GO:0005829, GO:0006308, GO:0008855, GO:0009318
A5I5H1	GO:0005829, GO:0006109, GO:0006402, GO:0044781, GO:0045947, GO:0048027, GO:1902208
A5I648	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
A5I667	GO:0003735, GO:0006412, GO:0022625
A5I676	GO:0000918, GO:0005886, GO:0032955
A5I6L6	GO:0003735, GO:0006412, GO:0022625
A5I6Z4	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
A5I7I2	GO:0003743, GO:0005829, GO:0019843, GO:0043022
A5I7I8	GO:0003735, GO:0006412, GO:0022625
A5I7J3	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
A5I7J8	GO:0003735, GO:0006412, GO:0022625
A5I7K2	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
A5I7K4	GO:0000027, GO:0003735, GO:0006412, GO:0019843, GO:0022625
A5I7Z9	GO:0003735, GO:0006412, GO:0022627, GO:0070181
A5I801	GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0070181, GO:1990904
A7MUP0	GO:0003677, GO:0005694, GO:0006310, GO:0006355, GO:0006417, GO:0030527, GO:1905087
A8DYP9	GO:0006417
A9A2Y8	GO:0003723, GO:0003735, GO:0006412, GO:0019843, GO:0022625, GO:0046872
A9WA95	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
A9WAI7	GO:0003998
A9WAN7	GO:0000918, GO:0005886, GO:0032955
A9WCD9	GO:0003735, GO:0006412, GO:0022627, GO:0070181
A9WE59	GO:0003735, GO:0006412, GO:0022625
A9WEA9	GO:0003677, GO:0005829, GO:0043590
A9WEJ6	GO:0003735, GO:0006412, GO:0019843, GO:0022627
A9WEK3	GO:0003735, GO:0005737, GO:0006412, GO:0015935
A9WGJ4	GO:0003735, GO:0006412, GO:0022625
A9WH70	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
A9WH74	GO:0003735, GO:0006412, GO:0022625
A9WH79	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
A9WH84	GO:0003735, GO:0006412, GO:0022625
A9WH88	GO:0003743, GO:0005829, GO:0019843, GO:0043022
A9WHB7	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
A9WI69	GO:0006729, GO:0008124
A9WKH6	GO:0000035, GO:0000036, GO:0005829, GO:0009245
B1L5N5	GO:0000028, GO:0003735, GO:0006412, GO:0022627, GO:0030490
B1L7A8	GO:0003735, GO:0006412, GO:0022625
B5YG34	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
B5YG38	GO:0003735, GO:0006412, GO:0019843, GO:0022627
B5YG39	GO:0003735, GO:0006412, GO:0022625
B5YG43	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
B5YG45	GO:0000027, GO:0003735, GO:0006412, GO:0019843, GO:0022625
B5YHN1	GO:0003735, GO:0006412, GO:0019843, GO:0022627
B5YJ66	GO:0003735, GO:0006412, GO:0022625
B5YK94	GO:0003735, GO:0005737, GO:0006412, GO:0015935
B5YLD0	GO:0003735, GO:0006412, GO:0022625
B8E0B3	GO:0003735, GO:0006412, GO:0022625
B8E0E2	GO:0003735, GO:0006412, GO:0022625
B8E0J0	GO:0003735, GO:0006412, GO:0022627, GO:0070181
B8E0J2	GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0070181, GO:1990904
B8E1D7	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
B8E1E6	GO:0003735, GO:0005737, GO:0006412, GO:0008270, GO:0015935, GO:0019843
B8E2A8	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
B8E2G7	GO:0003735, GO:0005737, GO:0006412, GO:0015935
B8E2S4	GO:0003735, GO:0006412, GO:0019843, GO:0022627
B8E2U4	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
C0H3Q8	GO:0003677, GO:0003700, GO:0006355
C0H3S9	GO:0003677, GO:0003700, GO:0006355
C0H412	GO:0071978
C0HLT6	GO:0031640, GO:0050829, GO:0050830, GO:0050832
C1P5Z7	GO:0004857, GO:0009401, GO:0046325
C1P5Z8	GO:0005886
C1P602	GO:0005886
C1P603	GO:0005886
C1P605	GO:0005886, GO:0008047
C1P609	GO:0005886
C1P610	GO:0005886, GO:0016020
C1P611	GO:0012501, GO:0016020
E2JKY7	GO:0031556, GO:0032026
G3MTW7	GO:0004857, GO:0005886
O07226	GO:0045926
O07823	GO:0009056, GO:0046872, GO:0051537
O25506	GO:0003677, GO:0005829, GO:0030261, GO:0030527
O25983	GO:0005829, GO:0006109, GO:0006402, GO:0044781, GO:0045947, GO:0048027, GO:1902208
O26981	GO:0015035
O31417	GO:0003677, GO:0003700, GO:0006355
O31796	GO:0003723, GO:0005829, GO:0006355, GO:0043487, GO:0045974
O32052	GO:0005886, GO:0015031
O32233	GO:0005886, GO:0009306, GO:0015450, GO:0043952, GO:0065002
O32292	GO:0005737, GO:0009401, GO:0016301
O32528	GO:0005886, GO:0009242
O34239	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
O34464	GO:0003677, GO:0003700, GO:0006355
O34687	GO:0003735, GO:0006412, GO:0015934
O50456	GO:0045927
O52658	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0031177
O53778	GO:0006355, GO:0045927
O53811	GO:0006355, GO:0045927
O54310	GO:0003676, GO:0003677, GO:0005737, GO:0010468
O66462	GO:0006729, GO:0008124
O66476	GO:0003735, GO:0006412, GO:0022627, GO:0070181
O66488	GO:0003743, GO:0005829, GO:0019843, GO:0043022
O66512	GO:0003723, GO:0005829, GO:0006355, GO:0043487, GO:0045974
O66594	GO:0003735, GO:0006412, GO:0019843, GO:0022627
O66982	GO:0003735, GO:0006412, GO:0022625
O67187	GO:0003735, GO:0006412, GO:0015934
O67327	GO:0003676, GO:0003677, GO:0005737, GO:0010468
O67461	GO:0003677, GO:0005829, GO:0030261, GO:0030527
O67560	GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0019843, GO:1990904
O67611	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0031177
O67643	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
O68845	GO:0003735, GO:0006412, GO:0022625
O84088	GO:0003735, GO:0005840, GO:0006412, GO:1990904
O84152	GO:0003735, GO:0006412, GO:0022625
O84171	GO:0003700, GO:0005737, GO:0006355, GO:0043565, GO:0045892
O84239	GO:0000035, GO:0000036, GO:0005829, GO:0009245
O84339	GO:0003677, GO:0005829, GO:0043590
O84622	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
O84808	GO:0003735, GO:0006412, GO:0022627, GO:0070181
O86655	GO:0003735, GO:0006412, GO:0019843, GO:0022627
O88059	GO:0003735, GO:0006412, GO:0022625
P00194	GO:0009055, GO:0046872, GO:0051539
P03051	GO:0042802
P03061	GO:0009099
P05384	GO:0003677, GO:0005829, GO:0030261, GO:0030527
P06965	GO:0003677, GO:0006355, GO:0051301
P08063	GO:0006457
P09557	GO:0051301, GO:0051302, GO:0051782
P0A0G2	GO:0003735, GO:0006412, GO:0022625
P0A0I4	GO:0005886, GO:0006605, GO:0008320, GO:0009306, GO:0043952, GO:0065002
P0A0T9	GO:0003677, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527
P0A0X7	GO:0003735, GO:0006412, GO:0022627, GO:0070181
P0A1D9	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0A1P8	GO:0005737, GO:0009055, GO:0009263, GO:0015035, GO:0015038, GO:0034599, GO:0045454
P0A1Z6	GO:0046872, GO:0051537
P0A2A5	GO:0003735, GO:0006412, GO:0022625
P0A2A7	GO:0003735, GO:0006412, GO:0022625
P0A2A9	GO:0003735, GO:0004519, GO:0005737, GO:0006412, GO:0015935
P0A2B1	GO:0003735, GO:0005829, GO:0006412, GO:0015935, GO:0070181
P0A2W1	GO:0000035, GO:0000036, GO:0005829, GO:0009245
P0A355	GO:0003676, GO:0003677, GO:0005737, GO:0010468, GO:0048255
P0A357	GO:0003676, GO:0003677, GO:0005737, GO:0010468, GO:0043488
P0A358	GO:0003677, GO:0005737, GO:0045893
P0A362	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0A3H5	GO:0003677, GO:0005829, GO:0009295, GO:0030261, GO:0030527
P0A484	GO:0003735, GO:0006412, GO:0022625
P0A491	GO:0003735, GO:0006412, GO:0022625
P0A4B4	GO:0003735, GO:0006412, GO:0019843, GO:0022627
P0A4B6	GO:0000028, GO:0003735, GO:0006412, GO:0019843, GO:0022627
P0A4G8	GO:0005886, GO:0006605, GO:0008320, GO:0009306, GO:0043952, GO:0065002
P0A6R6	GO:0003700, GO:0043565
P0A7P2	GO:0000049, GO:0003735, GO:0006412, GO:0022625
P0A7Q3	GO:0003735, GO:0006412, GO:0022625
P0A8J4	GO:0005829, GO:0034605
P0A976	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0A978	GO:0003676, GO:0003677, GO:0005829, GO:0009409, GO:0010468
P0A982	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0A986	GO:0003676, GO:0003677, GO:0005829, GO:0009409, GO:0010468
P0A9R2	GO:0044659, GO:0140911
P0A9Y2	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0A9Y9	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0AA31	GO:0006974
P0AAQ0	GO:0005886
P0AAU7	GO:0006355, GO:0006974
P0AAX3	GO:0006974, GO:0042597
P0AB14	GO:0005829
P0AB49	GO:0044011, GO:0070301, GO:0071276
P0AB55	GO:0005829
P0ABR1	GO:0006281, GO:0009432, GO:0019899
P0ACE5	GO:0003677, GO:1900191, GO:2000147
P0ACG6	GO:0005886, GO:0016020
P0ACX9	GO:0042803
P0ACY9	GO:0005829, GO:0006281, GO:0009432, GO:0010165
P0AD24	GO:0005829
P0AD83	GO:0006221, GO:0019856, GO:0031555
P0AD86	GO:0009088, GO:0031555, GO:0031556
P0AD92	GO:0000162, GO:0090357
P0ADA7	GO:0005886, GO:0006970, GO:0019867
P0ADE2	GO:0006979, GO:0015968, GO:0016036
P0ADF3	GO:0031555
P0ADJ3	GO:0090540
P0ADN6	GO:0005886, GO:0043165
P0AE42	GO:0005886, GO:0046677
P0AF45	GO:0044010, GO:0045226
P0AF82	GO:0042597, GO:0061133
P0AFW8	GO:0031554, GO:0031564
P0C948	GO:0005886, GO:0015385
P0CD87	GO:0003735, GO:0006412, GO:0022625
P0CE05	GO:0003735, GO:0006412, GO:0019843, GO:0022627
P0CF07	GO:0006313
P0CF08	GO:0006313
P0CF09	GO:0006313
P0CF10	GO:0006313
P0CF11	GO:0006313
P0CF12	GO:0006313
P0CF66	GO:0003677, GO:0004803, GO:0006313
P0CG95	GO:0005886, GO:0009274
P0CJ64	GO:0003723, GO:0004519, GO:0006401
P0CL00	GO:0000035, GO:0000036, GO:0005829, GO:0009245
P0CL01	GO:0003676, GO:0003677, GO:0005829, GO:0010468
P0DOA6	GO:0005576, GO:0009274
P0DPD0	GO:0005886
P0DQD7	GO:0005886, GO:0016020, GO:0034605
P11221	GO:0009279, GO:0019867
P11866	GO:0003677, GO:0045893
P12873	GO:0003735, GO:0006412, GO:0022625
P17797	GO:0009279, GO:0030255, GO:0043684
P19767	GO:0006313
P19947	GO:0003735, GO:0006412, GO:0022625
P21361	GO:0071978
P22665	GO:0003735, GO:0006412, GO:0022625
