ProteinID	Known_GO_Terms
P0AE72	GO:0003677, GO:0003690, GO:0006355, GO:0032991, GO:0040008, GO:0042803, GO:0044010, GO:0044877, GO:0097351, GO:0110001
P0AF36	GO:0000917, GO:0005829, GO:0032153, GO:0042802, GO:0043093
P0AF61	GO:0004521
P0AFE4	GO:0005886, GO:0008137, GO:0016020, GO:0022904, GO:0030964, GO:0042773, GO:0045271, GO:0045272, GO:0048038, GO:0050136
P0AFX0	GO:0005829, GO:0017148, GO:0022611, GO:0022627, GO:0043022, GO:0043024, GO:0045900
P0AG63	GO:0000028, GO:0002181, GO:0003735, GO:0005737, GO:0008270, GO:0019843, GO:0022627, GO:0046677, GO:0060090, GO:0070181
P0C037	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0042803, GO:0047975
P0C077	GO:0000976, GO:0001217, GO:0004521, GO:0006355, GO:0006402, GO:0017148, GO:0019843, GO:0032993, GO:0034198, GO:0040008, GO:0043022, GO:0044010, GO:0046677, GO:0097351, GO:0110001
P0C079	GO:0000976, GO:0001217, GO:0006351, GO:0006355, GO:0032993, GO:0040008, GO:0044010, GO:0097351, GO:0110001
P0C8P9	GO:0005576, GO:0017148, GO:0030371, GO:0031640, GO:0050829, GO:0050830
P0DTV7	GO:0006448, GO:0019843, GO:0031556
P14835	GO:0015979, GO:0030096, GO:0031676, GO:0042301, GO:0050821
P19267	GO:0003690, GO:0005694, GO:0005737, GO:0006265, GO:0042803, GO:0046982, GO:0051260
P23873	GO:0000976, GO:0001046, GO:0001217, GO:0006351, GO:0006355, GO:0032993, GO:0040008, GO:0042803, GO:0043565, GO:0045892, GO:0110001
P27320	GO:0009055, GO:0022900, GO:0046872, GO:0051537
P30748	GO:0000166, GO:0005829, GO:0006777, GO:1990133, GO:1990140
P31087	GO:0009055, GO:0009522, GO:0009773, GO:0016491, GO:0031676, GO:0046872, GO:0051539, GO:0060090
P31992	GO:0005737, GO:0016862, GO:0042803
